time,symbol,direction,entry,tp,sl,rsi,vol_change,ai_prob,ai_horizon,strategy
2026-02-21 07:29:36,10000QUBIC/USDT,LONG,0.004926,0.0049510714285714,0.0049134642857142,70.7547169811321,24.593210888816003,0.4971186976450135,8.485652758021173,
2026-02-21 07:32:52,SXP/USDT,LONG,0.02565,0.0265157142857142,0.0252171428571428,88.8888888888888,2.4681406390313705,0.4971186976450135,8.485652758021173,
2026-02-21 07:36:42,POWER/USDT,LONG,0.43736,0.4472235714285715,0.4324282142857143,70.78819574150164,2.710916068845941,0.4971186976450135,8.485652758021173,
2026-02-21 07:39:39,XNY/USDT,SHORT,0.00454,0.0044842857142857,0.0045678571428571,19.44444444444456,69.04973127966477,0.4971186976450135,8.485652758021173,
2026-02-21 07:40:56,CTSI/USDT,LONG,0.03053,0.0313892857142857,0.0301003571428571,78.47533632287002,2.306969730303161,0.4971186976450135,8.485652758021173,
2026-02-21 07:41:35,MAGMA/USDT,LONG,0.11174,0.1123914285714285,0.1114142857142857,94.81481481481478,32.74521348314607,0.4971186976450135,8.485652758021173,
2026-02-21 07:47:43,DOLO/USDT,LONG,0.04169,0.0419171428571428,0.0415764285714285,77.31958762886599,20.412305184883365,0.4971186976450135,8.485652758021173,
2026-02-21 07:48:30,EUL/USDT,SHORT,1.087,1.0590142857142857,1.100992857142857,22.88021534320333,2.3974472019832285,0.4971186976450135,8.485652758021173,
2026-02-21 07:48:49,XCH/USDT,LONG,2.638,2.662857142857143,2.6255714285714284,77.77777777777786,11.33044376701352,0.4971186976450135,8.485652758021173,
2026-02-21 07:51:09,SPX/USDT,LONG,0.3261,0.3282428571428571,0.3250285714285714,74.41860465116285,27.931119885459182,0.4971186976450135,8.485652758021173,
2026-02-21 07:52:13,CAMP/USDT,LONG,0.003028,0.0030468571428571,0.0030185714285714,79.16666666666643,15.570548215257578,0.4971186976450135,8.485652758021173,
2026-02-21 07:53:18,SXP/USDT,LONG,0.02633,0.0271314285714285,0.0259292857142857,65.97938144329893,2.607653576474458,0.4971186976450135,8.485652758021173,
2026-02-21 07:58:32,YGG/USDT,LONG,0.0509,0.051905,0.0503975,76.11940298507459,4.207130410926693,0.4971186976450135,8.485652758021173,
2026-02-21 08:00:23,AWE/USDT,SHORT,0.05733,0.0568542857142857,0.0575678571428571,26.470588235294542,123.38389531158752,0.4971186976450135,8.485652758021173,
2026-02-21 08:00:57,1000000CHEEMS/USDT,LONG,0.5199,0.5230071428571428,0.5183464285714287,63.77952755905566,8.695851255723602,0.4971186976450135,8.485652758021173,
