timestamp,market_regime,target_win,target_horizon,future_return,rsi,ema20,ema50,atr,vwap_dist,bb_position,volume_spike,obv_div_short,obv_div_long,cvd_div_short,cvd_div_long,poc_dist,vah_dist,val_dist,regime_num,funding_rate,open_interest,long_short_ratio,sentiment_index,liq_high_dist,liq_low_dist,close_ret_5,close_ret_20,mtf_rsi_5m,mtf_rsi_15m,mtf_atr_norm_5m,mtf_atr_norm_15m,mtf_trend_5m,mtf_trend_15m
2026-03-07 14:18:43,TREND,0,17.735817571481068,-6.928857142857181e-06,16.66666666666619,0.06443129710221995,0.0646768244827669,5.642857142857037e-05,-0.009035396494058726,0.4000852187261907,0.0,0.0,0.0,0.0,0.0,0.00077274494556775,-0.011798535510627296,0.00077274494556775,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.001245717844908123,-0.013243556510435961,31.386861313867996,50.0,0.0017996000888691054,0.0,-0.0030428607653992276,0.0
2026-03-07 14:11:22,TREND,1,33.924975558122,1.624262777777802e-05,23.999999999999673,0.040924214223555494,0.041001310042787696,4.999999999999895e-05,-0.0072043180579174715,0.2368574647434503,0.03603686848853057,0.0,0.0,0.0,0.0,-0.0041790856878436596,-0.00802557978115291,0.0008820907507211531,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0012260311925226253,-0.007787279836055538,38.57142857142853,50.0,0.0024322810947014564,0.0,-0.0016977778618955314,0.0
2026-03-07 14:18:40,TREND,1,31.64926266670227,1.6979500000006974e-07,29.268292682926315,0.005735553588453223,0.005750991227857355,3.0714285714286075e-06,-0.008278807569172663,0.40718906266617005,0.0,0.0,0.0,0.0,0.0,-0.0004963780764531754,-0.010514851341129892,-0.0004963780764531754,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.00035288807922728704,-0.007458264528305336,29.347826086955962,50.0,0.00117198214597411,0.0,-0.003328372047733325,0.0
2026-03-07 14:49:21,TREND,1,14.680408946673076,6.780000000039532e-07,23.809523809523938,0.27939581998926016,0.27940389289521156,0.00016428571428571601,-0.0009045497384713727,-0.034563305006092636,3.8106582752602134,0.0,1.0,0.0,1.0,-0.0002243359655420706,-0.007762024407753093,0.0005832735104092241,1.0,0.0,0.0,1.0,12.0,0.0,0.0,-0.0028644301014602025,-0.004648866412103603,47.916666666666856,50.0,0.0024356476258844983,0.0,0.002307287375721238,0.0
2026-03-07 14:11:29,TREND,0,56.02420831521352,-4.803971428571536e-07,31.578947368420813,0.0068833188710305465,0.006888102307990435,3.42857142857145e-06,-0.009912369281158127,0.2557630143622158,0.0,0.0,0.0,0.0,0.0,-0.0061840595867059395,-0.0061840595867059395,0.00048066825004447776,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.00029224024087481926,-0.0033340833417622173,38.043478260869875,50.0,0.0013606431375807562,0.0,-0.0040513011094630525,0.0
2026-03-07 15:07:31,TREND,0,14.721646924813589,-4.730142857142447e-07,28.260869565217348,0.006874182034231153,0.006880614273670066,3.357142857142807e-06,-0.009458242575730946,0.19573471285972016,0.0,0.0,0.0,0.0,0.0,-0.0027899166464352017,-0.005019422189851788,0.0002609856761348241,1.0,0.0,0.0,1.0,12.0,0.0,0.0,-0.00014539050956985378,-0.003919685661544214,38.793103448275396,50.0,0.0015919259182187024,0.0,-0.0035413009061656046,0.0
2026-03-07 14:37:24,TREND,0,47.68212475379308,-2.11191999999992e-06,26.25698324022305,0.0131351105074943,0.013183644862639645,1.8499999999999792e-05,-0.01083456986369412,0.23960508551197487,0.13581871341055549,0.0,0.0,0.0,0.0,0.00039293168397470197,-0.015613864284259853,0.00039293168397470197,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0015291513880817398,-0.005532810892997286,24.576271186440735,50.0,0.0031798149925822603,0.0,-0.004354687360671936,0.0
2026-03-07 14:53:14,TREND,0,34.86559716860453,-5.182611111111124e-06,29.54545454545439,0.03178180085456183,0.03182823733269804,4.214285714285716e-05,-0.029311801124400388,0.11255380823007036,0.6708225643410369,0.0,0.0,0.0,0.0,-0.010447336137399158,-0.01787372940764085,0.0014348930949877202,1.0,0.0,0.0,1.0,12.0,0.0,0.0,-0.001886286418720351,-0.0009258100986888618,40.909090909090764,50.0,0.004574132492113589,0.0,-0.010573866084560587,0.0
2026-03-07 15:22:24,TREND,0,8.791762733459473,-2.9284314285716455e-06,21.82741116751309,0.02503615955656575,0.025085250998903883,2.4285714285714783e-05,-0.02694750743397723,0.25742766462955236,0.07474433578080411,0.0,1.0,0.0,1.0,-0.004339687334675849,-0.01379983617635147,-0.00013517673837560345,1.0,0.0,0.0,1.0,12.0,0.0,0.0,-0.0005592355222405754,-0.004702843121355271,40.76335877862598,50.0,0.0032351915679247265,0.0,-0.010217727462819593,0.0
2026-03-07 15:25:10,TREND,0,21.75832080046336,-0.018798000000003867,28.571428571433216,626.7039803447059,626.490419179152,0.05000000000000325,-0.0003866233674825056,0.22978194109452932,0.0,0.0,1.0,0.0,1.0,-0.00035908075327166093,-0.00035908075327166093,-0.0001994893073731248,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.00031928480204346243,-0.00047829056882908727,81.25000000000178,50.0,0.00038757922575348403,0.0,-0.0005806686045828286,0.0
