datetime,time,open,high,low,close,volume,rsi,ema20,ema50,atr
2026-02-21 12:53:00,1771678380000.0,0.016221,0.016221,0.016204,0.016205,13957.0,,0.016205,0.016205,
2026-02-21 12:54:00,1771678440000.0,0.016205,0.016205,0.016195,0.016195,1503.0,,0.016204047619047618,0.016204607843137257,
2026-02-21 12:55:00,1771678500000.0,0.016195,0.016202,0.016195,0.016202,3864.0,,0.01620385260770975,0.016204505574778934,
2026-02-21 12:56:00,1771678560000.0,0.016202,0.016203,0.0162,0.0162,2677.0,,0.01620348569268977,0.01620432888557192,
2026-02-21 12:57:00,1771678620000.0,0.0162,0.0162,0.016195,0.016195,674.0,,0.016202677531481222,0.01620396304692204,
2026-02-21 12:58:00,1771678680000.0,0.016195,0.016197,0.01619,0.016197,15257.0,,0.016202136814197295,0.016203689986258433,
2026-02-21 12:59:00,1771678740000.0,0.016197,0.016197,0.016188,0.016197,6882.0,,0.016201647593797552,0.01620342763385614,
2026-02-21 13:00:00,1771678800000.0,0.016197,0.016197,0.016197,0.016197,0.0,,0.016201204965816833,0.016203175569783353,
2026-02-21 13:01:00,1771678860000.0,0.016197,0.01622,0.016197,0.01622,7007.0,,0.016202994969072373,0.01620383535136048,
2026-02-21 13:02:00,1771678920000.0,0.01622,0.01622,0.01622,0.01622,0.0,,0.016204614495827385,0.016204469259150266,
2026-02-21 13:03:00,1771678980000.0,0.01622,0.01622,0.01622,0.01622,0.0,,0.01620607978193906,0.016205078307811042,
2026-02-21 13:04:00,1771679040000.0,0.01622,0.01622,0.016211,0.016211,2813.0,,0.01620654837413534,0.01620531053103414,
2026-02-21 13:05:00,1771679100000.0,0.016211,0.016212,0.016211,0.016212,830.0,,0.01620706757659864,0.01620557286315045,
2026-02-21 13:06:00,1771679160000.0,0.016212,0.016212,0.016212,0.016212,0.0,,0.01620753733120829,0.016205824907732782,6.499999999999562e-06
2026-02-21 13:07:00,1771679220000.0,0.016212,0.016219,0.016212,0.016217,3192.0,59.37499999999932,0.016208438537759884,0.016206263146645222,5.785714285713876e-06
2026-02-21 13:08:00,1771679280000.0,0.016217,0.016222,0.016217,0.016222,1449.0,72.88135593220409,0.016209730105592277,0.01620688027814933,5.428571428571158e-06
2026-02-21 13:09:00,1771679340000.0,0.016222,0.016222,0.016222,0.016222,0.0,69.23076923076974,0.01621089866696444,0.016207473208417984,4.928571428571153e-06
2026-02-21 13:10:00,1771679400000.0,0.016222,0.01625,0.016222,0.01625,3430.0,82.05128205128513,0.016214622603444015,0.016209140925734927,6.714285714285491e-06
2026-02-21 13:11:00,1771679460000.0,0.01625,0.01625,0.01625,0.01625,0.0,87.6712328767137,0.01621799187930649,0.016210743242372774,6.357142857142771e-06
2026-02-21 13:12:00,1771679520000.0,0.01625,0.01625,0.01625,0.01625,0.0,87.32394366197349,0.01622104027175349,0.01621228272306404,5.8571428571427675e-06
